suc_cod,documento,fecha,hora,estado,hora_franja
60,1015,2023-12-11,07:30,Trabaja,30
60,1015,2023-12-11,07:45,Trabaja,31
60,1015,2023-12-11,08:00,Trabaja,32
60,1015,2023-12-11,08:15,Trabaja,33
60,1015,2023-12-11,08:30,Pausa Activa,34
60,1015,2023-12-11,08:45,Trabaja,35
60,1015,2023-12-11,09:00,Trabaja,36
60,1015,2023-12-11,09:15,Trabaja,37
60,1015,2023-12-11,09:30,Trabaja,38
60,1015,2023-12-11,09:45,Trabaja,39
60,1015,2023-12-11,10:00,Trabaja,40
60,1015,2023-12-11,10:15,Trabaja,41
60,1015,2023-12-11,10:30,Pausa Activa,42
60,1015,2023-12-11,10:45,Trabaja,43
60,1015,2023-12-11,11:00,Trabaja,44
60,1015,2023-12-11,11:15,Trabaja,45
60,1015,2023-12-11,11:30,Trabaja,46
60,1015,2023-12-11,11:45,Trabaja,47
60,1015,2023-12-11,12:00,Trabaja,48
60,1015,2023-12-11,12:15,Trabaja,49
60,1015,2023-12-11,12:30,Nada,50
60,1015,2023-12-11,12:45,Nada,51
60,1015,2023-12-11,13:00,Nada,52
60,1015,2023-12-11,13:15,Nada,53
60,1015,2023-12-11,13:30,Nada,54
60,1015,2023-12-11,13:45,Nada,55
60,1015,2023-12-11,14:00,Nada,56
60,1015,2023-12-11,14:15,Nada,57
60,1015,2023-12-11,14:30,Nada,58
60,1016,2023-12-11,07:30,Trabaja,30
60,1016,2023-12-11,07:45,Trabaja,31
60,1016,2023-12-11,08:00,Trabaja,32
60,1016,2023-12-11,08:15,Trabaja,33
60,1016,2023-12-11,08:30,Pausa Activa,34
60,1016,2023-12-11,08:45,Trabaja,35
60,1016,2023-12-11,09:00,Trabaja,36
60,1016,2023-12-11,09:15,Trabaja,37
60,1016,2023-12-11,09:30,Trabaja,38
60,1016,2023-12-11,09:45,Trabaja,39
60,1016,2023-12-11,10:00,Trabaja,40
60,1016,2023-12-11,10:15,Trabaja,41
60,1016,2023-12-11,10:30,Trabaja,42
60,1016,2023-12-11,10:45,Pausa Activa,43
