suc_cod,documento,fecha,hora,estado,hora_franja
311,1043,2023-12-11,07:30,Trabaja,30
311,1043,2023-12-11,07:45,Trabaja,31
311,1043,2023-12-11,08:00,Trabaja,32
311,1043,2023-12-11,08:15,Trabaja,33
311,1043,2023-12-11,08:30,Trabaja,34
311,1043,2023-12-11,08:45,Trabaja,35
311,1043,2023-12-11,09:00,Trabaja,36
311,1043,2023-12-11,09:15,Trabaja,37
311,1043,2023-12-11,09:30,Pausa Activa,38
311,1043,2023-12-11,09:45,Trabaja,39
311,1043,2023-12-11,10:00,Trabaja,40
311,1043,2023-12-11,10:15,Trabaja,41
311,1043,2023-12-11,10:30,Trabaja,42
311,1043,2023-12-11,10:45,Trabaja,43
311,1043,2023-12-11,11:00,Trabaja,44
311,1043,2023-12-11,11:15,Trabaja,45
311,1043,2023-12-11,11:30,Trabaja,46
311,1043,2023-12-11,11:45,Almuerza,47
311,1043,2023-12-11,12:00,Almuerza,48
311,1043,2023-12-11,12:15,Almuerza,49
311,1043,2023-12-11,12:30,Almuerza,50
311,1043,2023-12-11,12:45,Almuerza,51
311,1043,2023-12-11,13:00,Almuerza,52
311,1043,2023-12-11,13:15,Trabaja,53
311,1043,2023-12-11,13:30,Trabaja,54
311,1043,2023-12-11,13:45,Trabaja,55
311,1043,2023-12-11,14:00,Trabaja,56
311,1043,2023-12-11,14:15,Trabaja,57
311,1043,2023-12-11,14:30,Trabaja,58
311,1043,2023-12-11,14:45,Pausa Activa,59
311,1043,2023-12-11,15:00,Trabaja,60
311,1043,2023-12-11,15:15,Trabaja,61
311,1043,2023-12-11,15:30,Trabaja,62
311,1043,2023-12-11,15:45,Trabaja,63
311,1043,2023-12-11,16:00,Trabaja,64
311,1043,2023-12-11,16:15,Trabaja,65
311,1043,2023-12-11,16:30,Trabaja,66
311,1043,2023-12-11,16:45,Trabaja,67
311,1043,2023-12-11,17:00,Nada,68
311,1043,2023-12-11,17:15,Nada,69
311,1043,2023-12-11,17:30,Nada,70
311,1043,2023-12-11,17:45,Nada,71
311,1043,2023-12-11,18:00,Nada,72
311,1043,2023-12-11,18:15,Nada,73
311,1043,2023-12-11,18:30,Nada,74
311,1043,2023-12-11,18:45,Nada,75
311,1043,2023-12-11,19:00,Nada,76
311,1043,2023-12-11,19:15,Nada,77
311,1043,2023-12-11,19:30,Nada,78
311,1044,2023-12-11,07:30,Nada,30
311,1044,2023-12-11,07:45,Trabaja,31
311,1044,2023-12-11,08:00,Trabaja,32
311,1044,2023-12-11,08:15,Trabaja,33
311,1044,2023-12-11,08:30,Trabaja,34
311,1044,2023-12-11,08:45,Trabaja,35
311,1044,2023-12-11,09:00,Trabaja,36
311,1044,2023-12-11,09:15,Trabaja,37
311,1044,2023-12-11,09:30,Pausa Activa,38
311,1044,2023-12-11,09:45,Trabaja,39
311,1044,2023-12-11,10:00,Trabaja,40
